,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
2625,0.9,0.8,-3.2,1,11.6193231,2
6180,1.3,1.3,-3.1,1,34.40845071666667,12
2611,0.9,0.8,-3.5,1,48.2198948,1
2857,0.9,1.1,-3.2,1,58.34557826666667,3
693,-1.4,1.1,-4.2,1,21.7635679,1
1667,-0.8,2.4,-3.5,1,142.487658,2
2859,0.9,1.1,-3.1,1,16.2745384,2
2863,0.9,1.1,-3.0,1,142.487658,3
2871,0.9,1.1,-2.8,1,22.4210209,10
2877,0.9,1.1,-2.7,1,18.6757809,2
6168,1.3,1.3,-3.3,1,33.9024795,2
2882,0.9,1.1,-2.6,1,14.9305409,1
2888,0.9,1.1,-2.5,1,37.6965788,1
6160,1.3,1.2,-2.7,1,142.487658,1
6146,1.3,1.2,-2.8,1,41.80938159375,16
6170,1.3,1.3,-3.2,1,33.9024795,3
3,-2.4,2.9,-3.2,1,142.487658,1
2643,0.9,0.8,-3.1,1,11.6193231,16
2826,0.9,1.0,-2.6,1,22.4210209,1
2717,0.9,0.9,-3.4,1,48.2198948,1
5126,1.2,1.0,-2.9,1,122.18921496666667,6
2715,0.9,0.9,-3.5,1,48.2198948,15
679,-1.4,1.1,-4.3,1,16.8753928,2
666,-1.4,1.1,-4.4,1,13.0813061,22
1,-4.2,2.9,-1.4,1,142.487658,1
2713,0.9,0.9,-3.6,1,48.2198948,1
6263,1.3,1.4,-3.0,1,34.4544481,62
6219,1.3,1.3,-2.9,1,106.47658803333336,3
2802,0.9,1.0,-3.1,1,142.487658,1
2,-3.7,2.8,-1.7,1,142.487658,1
2664,0.9,0.8,-3.0,1,11.6193231,3
6252,1.3,1.4,-3.1,1,34.4544481,7
2814,0.9,1.0,-2.8,1,22.4210209,1
654,-1.4,1.1,-4.5,1,11.9872177,2
6244,1.3,1.4,-3.3,1,33.9024795,1
2819,0.9,1.0,-2.7,1,59.94640660000001,3
6242,1.3,1.4,-3.4,1,33.9024795,1
2712,0.9,0.9,-3.7,1,48.2198948,1
1110,-1.3,1.2,-4.5,1,21.7635679,1
6126,1.3,1.2,-2.9,1,132.80027662058825,34
2913,0.9,1.2,-3.1,1,142.487658,3
5089,1.2,1.0,-3.1,1,142.487658,6
591,-1.4,1.0,-4.5,1,11.9872177,2
3167,1.0,0.8,-3.0,1,11.6193231,3
2480,0.8,1.3,-2.5,1,48.2198948,1
3185,1.0,0.8,-2.9,1,15.95627035,4
3198,1.0,0.8,-2.8,1,20.6969998,22
3228,1.0,0.9,-3.5,1,48.2198948,31
3229,1.0,0.9,-3.4,1,48.2198948,3
2486,0.8,1.4,-3.0,1,33.9024795,1
3231,1.0,0.9,-3.3,1,48.2198948,8
3242,1.0,0.9,-3.2,1,14.9305409,2
579,-1.4,1.0,-4.6,1,11.9872177,1
3258,1.0,0.9,-3.1,1,14.9305409,5
2470,0.8,1.2,-2.5,1,29.027189266666667,3
5163,1.2,1.0,-2.7,1,60.895939950000006,4
2467,0.8,1.2,-2.8,1,16.2745384,1
3276,1.0,0.9,-3.0,1,57.44957993333333,3
6081,1.3,1.2,-3.1,1,70.097539,3
2478,0.8,1.3,-2.8,1,33.9024795,1
2907,0.9,1.2,-3.3,1,142.487658,1
3145,1.0,0.8,-3.1,1,12.171192733333335,6
3122,1.0,0.8,-3.2,1,57.44957993333333,3
2915,0.9,1.2,-3.0,1,142.487658,1
616,-1.4,1.0,-4.3,1,21.7635679,4
2917,0.9,1.2,-2.9,1,48.2198948,1
2922,0.9,1.2,-2.7,1,34.4544481,1
2929,0.9,1.2,-2.5,1,33.9024795,1
2934,0.9,1.3,-3.5,1,142.487658,1
2935,0.9,1.3,-3.3,1,142.487658,1
2942,0.9,1.3,-3.0,1,142.487658,2
6103,1.3,1.2,-3.0,1,38.87609048484849,33
2954,0.9,1.4,-3.5,1,33.9024795,1
605,-1.4,1.0,-4.4,1,13.2540569,9
2961,0.9,1.4,-3.0,1,33.9024795,1
2973,0.9,1.5,-3.6,1,33.9024795,1
2980,0.9,1.5,-2.7,1,48.2198948,1
699,-1.4,1.1,-4.1,1,21.7635679,3
3042,1.0,0.7,-3.2,1,20.6969998,2
2489,0.8,1.4,-2.9,1,33.9024795,1
3060,1.0,0.7,-3.1,1,20.6969998,1
2959,0.9,1.4,-3.1,1,33.9024795,2
3640,1.0,1.3,-3.3,1,16.2745384,1
2391,0.8,1.0,-2.8,1,15.6515276,5
2382,0.8,1.0,-3.1,1,15.651527599999998,17
5329,1.2,1.2,-3.2,1,111.45552771428572,7
4361,1.1,1.1,-3.0,1,121.76595182857145,21
4699,1.1,1.5,-3.1,1,48.2198948,1
5325,1.2,1.2,-3.3,1,142.487658,1
4379,1.1,1.1,-2.9,1,73.18528071052633,19
360,-1.5,1.1,-4.4,1,12.74732122,5
4393,1.1,1.1,-2.8,1,84.4514508,6
2171,0.7,1.0,-2.4,1,64.45031763846154,13
2163,0.7,1.0,-2.5,1,20.3721934,3
4410,1.1,1.1,-2.7,1,34.702001929729725,37
810,-1.4,1.3,-4.3,1,21.7635679,1
1055,-1.3,1.1,-4.5,1,13.2540569,1
5293,1.2,1.1,-2.7,1,99.77165068000001,5
4441,1.1,1.2,-3.2,1,104.78055272000002,10
2139,0.7,0.9,-2.3,1,100.17690034545454,22
2128,0.7,0.9,-2.4,1,36.83448969230769,13
2155,0.7,1.0,-3.3,1,15.6515276,1
2180,0.7,1.0,-2.3,1,142.487658,4
4342,1.1,1.1,-3.1,1,142.487658,8
6707,1.4,1.5,-4.0,1,142.487658,1
4214,1.1,1.0,-3.1,1,142.487658,12
780,-1.4,1.2,-4.1,1,21.7635679,23
1081,-1.3,1.1,-4.3,1,21.7635679,1
4235,1.1,1.0,-3.0,1,142.487658,4
2202,0.7,1.1,-2.3,1,82.45433945,2
4256,1.1,1.0,-2.9,1,142.487658,3
2197,0.7,1.1,-2.4,1,37.6965788,2
2195,0.7,1.1,-2.5,1,26.985558599999997,2
2193,0.7,1.1,-2.6,1,16.2745384,1
4290,1.1,1.0,-2.7,1,33.6987006,1
2191,0.7,1.1,-2.7,1,16.2745384,1
5344,1.2,1.2,-3.1,1,110.67234095161291,31
215,-1.5,0.8,-4.6,1,11.9872177,6
2190,0.7,1.1,-2.8,1,142.487658,2
4332,1.1,1.1,-3.3,1,48.023856550000005,8
4335,1.1,1.1,-3.2,1,74.49455962500001,8
2189,0.7,1.1,-2.9,1,16.2745384,7
2120,0.7,0.9,-2.5,1,48.2198948,1
2088,0.7,0.8,-3.7,1,48.2198948,1
4450,1.1,1.2,-3.1,1,113.98993951176472,17
822,-1.4,1.3,-4.2,1,21.7635679,1
234,-1.5,0.9,-4.8,1,11.9872177,1
235,-1.5,0.9,-4.7,1,11.9872177,1
2014,0.6,0.9,-2.4,1,21.161697716666666,6
5231,1.2,1.1,-3.0,1,64.70746117014926,67
